non-smoking_building,Range,Mean,Stdev,Median
NO,0 - 43,8.255432158377594,6.4515989250697,5
YES,3 - 51,7.151162790697675,5.89470073094308,4
TOTAL,0 - 51,7.831597738768224,6.265900828334159,5
